"序號","分類","教材名稱","標準網頁檔名","相對路徑","線上瀏覽網址","收錄範圍/頁碼","收錄成語數","收錄成語精選預覽"
53,"七上 詳解PDF","[七上] 成語週考第06回p.59-p.66 練功坊 單回詳解 PDF","idiom-weekly-06.pdf","idiom-pdf/idiom-weekly-06.pdf","https://oaoadna-1313.github.io/2026_new5Didiom/idiom-pdf/idiom-weekly-06.pdf","p.59-p.66",43,"第 06 回 完整題目與逐題解析"
54,"七上 詳解PDF","[七上] 成語週考第07回p.67-p.74 練功坊 單回詳解 PDF","idiom-weekly-07.pdf","idiom-pdf/idiom-weekly-07.pdf","https://oaoadna-1313.github.io/2026_new5Didiom/idiom-pdf/idiom-weekly-07.pdf","p.67-p.74",45,"第 07 回 完整題目與逐題解析"
55,"七上 詳解PDF","[七上] 成語週考第08回p.75-p.82 練功坊 單回詳解 PDF","idiom-weekly-08.pdf","idiom-pdf/idiom-weekly-08.pdf","https://oaoadna-1313.github.io/2026_new5Didiom/idiom-pdf/idiom-weekly-08.pdf","p.75-p.82",42,"第 08 回 完整題目與逐題解析"
56,"七上 詳解PDF","[七上] 成語週考第09回p.83-p.90 練功坊 單回詳解 PDF","idiom-weekly-09.pdf","idiom-pdf/idiom-weekly-09.pdf","https://oaoadna-1313.github.io/2026_new5Didiom/idiom-pdf/idiom-weekly-09.pdf","p.83-p.90",43,"第 09 回 完整題目與逐題解析"
57,"七上 詳解PDF","[七上] 成語週考第10回p.91-p.98 練功坊 單回詳解 PDF","idiom-weekly-10.pdf","idiom-pdf/idiom-weekly-10.pdf","https://oaoadna-1313.github.io/2026_new5Didiom/idiom-pdf/idiom-weekly-10.pdf","p.91-p.98",44,"第 10 回 完整題目與逐題解析"
58,"七上 詳解PDF","[七上] 成語週考第11回p.99-p.106 練功坊 單回詳解 PDF","idiom-weekly-11.pdf","idiom-pdf/idiom-weekly-11.pdf","https://oaoadna-1313.github.io/2026_new5Didiom/idiom-pdf/idiom-weekly-11.pdf","p.99-p.106",44,"第 11 回 完整題目與逐題解析"
59,"七上 詳解PDF","[七上] 成語週考第12回p.107-p.110 練功坊 單回詳解 PDF","idiom-weekly-12.pdf","idiom-pdf/idiom-weekly-12.pdf","https://oaoadna-1313.github.io/2026_new5Didiom/idiom-pdf/idiom-weekly-12.pdf","p.107-p.110",22,"第 12 回 完整題目與逐題解析"
60,"七下 詳解PDF","[七下] 成語週考第13回 p.111-p.118 練功坊 單回詳解 PDF","idiom-weekly-13.pdf","idiom-pdf/idiom-weekly-13.pdf","https://oaoadna-1313.github.io/2026_new5Didiom/idiom-pdf/idiom-weekly-13.pdf","p.111-p.118",45,"第 13 回 完整題目與逐題解析"
61,"七下 詳解PDF","[七下] 成語週考第14回 p.119-p.127 練功坊練習神器 單回詳解 PDF","idiom-weekly-14.pdf","idiom-pdf/idiom-weekly-14.pdf","https://oaoadna-1313.github.io/2026_new5Didiom/idiom-pdf/idiom-weekly-14.pdf","p.119-p.127",51,"第 14 回 完整題目與逐題解析"
62,"七下 詳解PDF","[七下] 成語週考第15回 p.128-p.136 練功坊練習神器 單回詳解 PDF","idiom-weekly-15.pdf","idiom-pdf/idiom-weekly-15.pdf","https://oaoadna-1313.github.io/2026_new5Didiom/idiom-pdf/idiom-weekly-15.pdf","p.128-p.136",49,"第 15 回 完整題目與逐題解析"
